
============
INPUT STATUS
============
Total Chunks: 1000
steps per chunk: 20
Interval: 1.000000 to 100.000000
============
Area for process 17, is: 359.394163
Area for process 23, is: 360.576183
Area for process 22, is: 400.671525
Area for process 24, is: 401.919526
Area for process 26, is: 403.169467
Area for process 22, is: 406.930934
Area for process 24, is: 408.188637
Area for process 26, is: 409.448281
Area for process 22, is: 410.709866
Area for process 24, is: 411.973391
Area for process 26, is: 413.238857
Area for process 26, is: 417.046899
Area for process 26, is: 418.320127
Area for process 26, is: 419.595296
Area for process 26, is: 420.872405
Area for process 26, is: 422.151455
Area for process 26, is: 423.432446
Area for process 26, is: 424.715377
Area for process 26, is: 426.000249
Area for process 26, is: 427.287062
Area for process 26, is: 428.575815
Area for process 22, is: 414.506264
Area for process 24, is: 415.775611
Area for process 26, is: 429.866509
Area for process 22, is: 431.159143
Area for process 24, is: 432.453718
Area for process 17, is: 404.421348
Area for process 23, is: 405.675171
Area for process 26, is: 433.750233
Area for process 22, is: 435.048689
Area for process 24, is: 436.349086
Area for process 26, is: 440.261920
Area for process 26, is: 444.192219
Area for process 26, is: 445.506199
Area for process 26, is: 446.822121
Area for process 26, is: 448.139983
Area for process 26, is: 449.459786
Area for process 26, is: 450.781529
Area for process 26, is: 452.105213
Area for process 26, is: 453.430837
Area for process 26, is: 454.758402
Area for process 26, is: 456.087908
Area for process 26, is: 457.419354
Area for process 26, is: 458.752741
Area for process 26, is: 460.088068
Area for process 26, is: 461.425337
Area for process 26, is: 462.764545
Area for process 26, is: 464.105694
Area for process 26, is: 465.448784
Area for process 22, is: 441.570079
Area for process 24, is: 442.880178
Area for process 26, is: 466.793815
Area for process 26, is: 470.840550
Area for process 26, is: 472.193342
Area for process 26, is: 473.548076
Area for process 26, is: 474.904750
Area for process 26, is: 476.263364
Area for process 26, is: 477.623920
Area for process 26, is: 478.986415
Area for process 26, is: 480.350852
Area for process 26, is: 481.717229
Area for process 26, is: 483.085547
Area for process 26, is: 484.455805
Area for process 26, is: 485.828004
Area for process 22, is: 468.140786
Area for process 24, is: 469.489697
Area for process 26, is: 487.202143
Area for process 26, is: 491.336205
Area for process 26, is: 492.718107
Area for process 26, is: 494.101949
Area for process 26, is: 495.487732
Area for process 26, is: 496.875456
Area for process 26, is: 498.265120
Area for process 26, is: 499.656724
Area for process 26, is: 501.050270
Area for process 26, is: 502.445756
Area for process 26, is: 503.843182
